 __label__8, 人 狼 なんて いる わけ ない じゃん 。 みんな 大げさ だ なあ 
 __label__1, で 奇遇 な こと に ワシ も ●[ 屋 ] を 考え て おっ た 。 理由 として 、 白 確 し た とき に 、 まとめ 委任 できる レベル で 、 疑惑 を もっ て いる ん で の 。 現状 として 仮想 狼 は 年 。 霊 候補 で 、 初期 発言 のみ 早く 、 霊 CO が とても 遅かっ た 。 まあ 決め うち は でき ん が 羊 ＞ 年 で は ある 。 で オットー だ が 、 今日 の 最初 が 22 : 24 で 離れ た の が 23 : 28 。 特に 発言 は 多く ない が 『 疲労 が たまっ て い て 』 が 気 に かかる 。 ここ で 年 と の 赤 議論 が 考え られる ため 。 
 __label__9, >> 186 [ 屋 ] 感情 的 に なっ て おら ん よ 。 人 狼 退治 なんて 70 年 ぶり なん で の 。 やっと 、 まとも な 質問 が 飛ん で き て 楽しく て しょうが ない 。 感情 的 と 言え ば 高揚 し て いる という 感覚 か の 。[ セオリー について ] 初日 の CO が 終わる まで は セオリー で 十分 と 思っ て おる 。 セオリー 外 は CO 後 に 考えれ ば よかろ う 。 
 __label__5, 神 旅 書 が まだ 占い 非 対抗 し て ない よ な ？ ３ ? ２ とか に なら ない か な ？ ？ あと は … 羊 あたり が スライド とか し ない か な ～ なんて な 。 ● クララ or エルナ or ニコラス 　 理由 ： 寡黙 だ から 三 人 も 寡黙 吊り し てる 余裕 なんて 無い し 、 一 人 位 占っ て おい た 方 が 良い と 思う ん だ よ な 。 決定 時間 まで に は 決めよ う と 思っ てる 。 
 __label__9, いま 戻っ た ぜ よ !! っと いけ ない いけ ない 読ん で い た 経典 の 口調 が 出 て しまい まし た 。 急い で 読ん で 把握 し ます 。 とりあえず 【 ヨアヒム と パメラ の 占 CO を 確認 】 し まし た 。 私 は 【 占い も 苦手 です 】 神 は 清い 心 を くれ た から 一般人 でも いい の ぜ よ !! 
 __label__9, 遅く なっ た 。 申し訳 ない 。 【 カタリナ と ペーター の 霊 CO 確認 】 【 ヨアヒム と パメラ の 占 CO 確認 】 そして 自分 に 【 占い は 出来 ない 】 よ 。 
 __label__9, ああ 、 過ぎ てる ･･･ すみません 。 ● 屋 ○ 木 オト さん に関して は モリ さん と ほぼ 一緒 で 中心 に なっ て 進め て くれ そう な んで 確定 白 が ほしい です 。 黒 だっ たら 怖い って の も あり ます が 。 トマ さん に関して は すごく 能力 者 ロラ を 押し てる よう に 感じ た ので そこ まで 必要 か な と 思い まし た 。 ただ 正直 いっ て どちら も 疑惑 って ほど 強い もの じゃ ない です 。 
 __label__6, シモン ＞ ごめん ね 、 特に 策 も 何 も なく ＣＯ し て 。 自分 でも 言っ てる こと と やっ てる こと コロコロ 変え てる って の は 分かっ てる ん だ けど ； おじいちゃん ＞ 【 まとめ 役 了解 】 私 は ● 書 、 服 ○ 旅 で 希望 する わ 。 理由 は >> 189 と 同じ 。 でも まだ 気 に なる こと が 幾つ か ある から 本 決定 まで もう少し 考え させ て 。 もしか し たら 今 出し てる 希望 と 全く 違う 人 を ● で 挙げる かも しれ ない わ 。 
 __label__6, 仮 決定 に 間に合わ なかっ た 。 申し訳 ない 。 さて 占い に つい て だ が 。 ● オットー ： 最初 から 初日 FO を 希望 し た 人 は 他 に も い た けど 、 霊 CO 回し を 始め た 時点 で 能力 者 を あぶりだし たい 狼 側 の 印象 を 持っ た 。 ● モリ 爺 ： 確定 白 の まとめ 役 が 欲しい 観点 から 、 票 まとめ に 立候補 し て くれ た 爺 の 白黒 を 見 て おき たい 。 ○ ディーター ： これ も 確定 白 欲し さ から 。 ディーター の 議論 の 進め方 から 、 白 印象 を 持ち 占 候補 に 考え て い た が 、 立候補 し た 爺 
 __label__7, あっ 私 の 票 入ら ない なら ↑ の 無視 で いい です 。 >> 180 に ( ii ) 同数 の 場合 [ 霊 占 を 加え 多数 ] って あっ た ん です が 私 は どの タイミング で 言え ば よかっ た です か ？ あと 仮 21 本 22 時 は 決定 です か ？ 
 __label__8, を 優先 し た 。 まぁ 、 現時点 で は 印象 第 一 に なっ て しまう ね 。 
 __label__1, 遅く なっ て 申し訳 ない です 。 まとめ 、 モリ さん お願い 致し ます 。 >> 177 パメ さん ＞ 即 CO し なかっ た 理由 が 微妙 に 思う の は 私 だけ でしょ う か ねぇ … 。>> 169 の CO 確認 宣言 と >> 173 の 上段 が 全く 同じ こと を 言っ て い ます 。 ★ 即 CO の 重要 性 、 ご存知 です ？ >> 183 シモ さん ＞ ★ 上記 理由 に さくっと 納得 し て しまっ て ます が … 。 本当に 納得 でき た ん です か ？ 
 __label__1, この 村 の 中 で 割 と しゃべれる 方 な 印象 な のに 、 狼 探し に 積極 性 を 感じ ない ＆ パメ さん と の やりとり が 気 に なり まし た 。 とりあえず ● 兵 ご 返答 頂け たら 、 それ 次第 で 変え ます 。 
 __label__7, 喉 が 余っ た し さらっ と 能力 者 考察 出し て おく か 。 まずは 霊 能 者 から 。 発言 密度 として は カタリナ の 方 が ずっと 上 。 ペーター は ちょっと 喋ら な すぎ て 分から ん 。 発言 数 的 に 言う と カタリナ の 方 が 真 っぽい 気 が する な ・ ・ ・ まあ 、 今後 ペーター も 何 か 言う かも しれ ない から 様子見 。 次 は 占い師 。 うーん ・ ・ ・ 両方 とも 印象 が どっこいどっこい で どっち が 真 か 偽 か は 考え 兼ねる なー ・ ・ ・ 若干 戦略 について の 話題 は パメラ の 方 が 多い って くらい か 。 こ 
 __label__7, れ も 様子見 ・ ・ ・ って 、 様子 見 て ばっかり だ な 俺 。 まだ 喉 ある な ・ ・ ・ 灰 考察 も 出す か 。 白黒 判断 という か 発言 姿勢 の 考察 に 近い が 。 者 → 議題 の 活発 化 を 促し たい 感じ が する な 。 この 村 の 中 で は 比較的 多弁 域 。 早々 に 占い 希望 に 出さ なく て も よい か な 。 屋 → 考え は 一貫 し て いる な 。 少々 ロックオン 体質 気味 だろ う か ？ ご 老人 と 少々 やりあっ て いる が 、 これ は 仲間 切り と いう よ か 、 村人 同士 で 疑っ て いる か 、 はた また 黒 塗り し あっ て いる か 
 __label__7, ・ ・ ・ どっち か っぽい か ？ 旅 → 彼 も 考え は 一貫 し て いる が 、 少々 発言 内容 が 薄い よう な ・ ・ ・ ？ まあ 気 に なる ほど で は ない が 。 ん ー で も >> 142 を 見る と それほど 一貫 し て いる 訳 で も ない よう だ な 。 優柔不断 と いう より 、 柔軟 な 感じ だ な 。 司 → 発言 数 が 少ない 上 に 内容 も 薄め ・ ・ ・ 寡黙 気味 だ から もう ちょっと 喋っ て ほしい な 。 吊り 手数 的 に 、 寡黙 吊り を する 訳 に も いか ん し 。 老 → 2 - 2 発言 あたり は セオリー 的 に っていう 理由 で まあ 納 
 __label__7, 得 し て おく 。 喋ら ない 人 が 多め の この 村 の 中 で は 多弁 な 方 な ん だ な ・ ・ ・ それ 考える と 占う の は もったいない か ？ しかし 、 俺 として は ご 老人 と オットー の どちら か を 占っ て おき たい ・ ・ ・ いや なんせ 、 さっき の 切り合い が まだ ちょっと 気 に かかっ て な 。 神 → 発言 数 が まだ 少なめ だ が 、 色々 考え て いる よう で は ある な 。 これから 発言 も 伸び そう だ し 期待 し て おく 。 仕 → 彼女 も 寡黙 だ な ・ ・ ・ 突然 死 だけ は し ない で ほしい 。 さらに 言う なら もっと 
 __label__7, 喋っ て ほしい 。 兵 → 色々 考え て いる よう だ し 、 気 に なる 所 は ちゃんと 質問 し て い たり し て まあ 白め 。 現状 唯一 そう 思える 。 後半 印象 が 変わっ て き たら 注意 だ が 、 まあ まだ 警戒 し なく て も よ さ そう だ 。 そんな 訳 で 占い 希望 を 改めて 出す と ● 老 ○ 屋 か な 。 逆 でも かまわ ん 。 >> 192 別 に ローラー を 強く 推し てる 訳 で は ない ん だ が 。 まあ 、 決め 打ち より ローラー 思考 で ある こと は 認める 。 >> 195 は ・ ・ ・ まあ 多分 ほぼ 決定 じゃ ない か ？ 
 __label__6, ● モーリッツ さん 。 理由 は まとめ の 立候補 です から 。 白 確 すれ ば 頼もしい まとめ 約 に なっ て 頂ける でしょ う 。 ○ オットー さん 。 理由 は 「 狼 側 として も 」 という 発言 が ある など 、 思考 が 狼 側 っぽい など 、 まとめる と ニコラス さん と 同じ 理由 でしょ う 。 ズバリ 。 
 __label__5, じじ ー だ よ 。 つ [ holsten ] 仮 2130 本 22 : 00 で いこ う 。 票 出 て ないし 。 占い師 の 二 人 は 切れ端 に 確認 書い て くれる と うれしい 。 あと 希望 は 第 一 第 二 共 に 一 人 づつ に 絞っ て ほしい 。 じじ ー から の おねがい です 。 霊 占 も 書い て くれる と 。 占 霊 から の 意見 を 参考 に する 人 も いる だろ う し 。 ／| 屋 老兵 ＿ ＿ 青 ＿ 娘 ＿ 旅 ＿ 者 壱 | 老 屋 書 服 旅 屋 樵 書 服 老 屋 兵 弐 |＿＿＿＿＿＿＿ 旅 ＿ ＿ ＿ ＿ 
 __label__9, ☆ ディータ >> 197 あんまり 納得 は し て ない が … 深く 突っ込ん で も 回答 が 変わる よう な 内容 じゃ ない し 。 信用 を 取り に 動い てる よう に は 見え ない な ・ 後 は 、 俺 の 考え て た 事 は メタ っぽい から ね ｗ 明日 から の 判定 と 発言 で 真贋 を 見 て 行こ う って 思っ て の 返答 だ 。 
 __label__5, じじ ー だ よ 。 つ [ holsten ] 仮 決定 【 ● モーリッツ 】 まあ FO で 回避 は ない じゃ ろ から 、 本 決定 で 変わっ て も よかろ う 。 風呂 に 入っ て くる 。 ／| 屋 老兵 ＿ ＿ 青 ＿ 娘 ＿ 旅 ＿ 者 神 壱 | 老 屋 書 服 旅 屋 樵 書 服 老 屋 兵 老 弐 |＿＿＿＿＿＿＿ 旅 ＿ ＿ ＿ ＿ 屋 
 __label__6, モリ さん に 票 集まっ て ます ね 。 投票 な ので 反対 言っ て も 意味 ない です が … 、 でも モリ さん は 正直 白い 気 が し ます 。 村 側 として 歯痒い 感情 が 共感 でき ます 。 もし まとめ 役 欲し さ の 白 確 狙い なら 、 屋 か 兵 か 樵 が 個人 的 に 。 すみません が 、 ● 屋 ○ 兵 で 。 オト さん も しゃべれる 方 です が 、 狼 探し の 積極 性 が 感じ られ ない 。 あと ニコ さん 、 >> 194 ● 希望 は 1 個 で よい の です よ 。 … と 、 仮 決定 出 て しまい まし た か 。 一応 、 変更 を 希望 し て おき ます 
 __label__6, さて 、 ● オットー か ● 爺 か で もう一度 読み返し て 来 た けど 。 今日 の 時点 で は 確定 白 を 期待 する 動き を 取り たい ので 、 オットー は 候補 から 外す よ 。 ● 爺 、 ○ ディーター で 。 
 __label__6, 【 仮 決定 確認 。 希望 通り だ から 反対 は し ない 。 】 ・ ・ ・ ひょっと する と 、 俺 の 希望 は 「 理由 なし 」 に とら れ てる かも しれ ない な ・ ・ ・ 一応 言っ た つもり な ん だ が ・ ・ ・ 改めて 簡潔 に 理由 を 説明 する と 、 ● 老 は 2 - 2 の 部分 が 視点 漏れ ぽかっ た から 、 ○ 屋 は 老 と の 掛け合い で 屋 の 白黒 も 見 て おき たい と 思っ た から 、 という 感じ だ 。 正直 ● 老 は 言いがかり に 近い が 、 屋 と 老 どっち か の 白黒 は 個人 的 に 見 て おき たい な と 思っ て な 。 
 __label__6, ● ニコラス 　 寡黙 域 の 人 の 中 で は 発言 も し てる し 、 白 に なっ て も それ に り に 纏め て くれ そう 。 第 二 希望 は 無し 。 モーリッツ に ここ まで 票 が 集まる と … 狼 側 の 組織 票 が 懸念 さ れる な … 
 __label__9, 【 仮 決定 確認 、 微妙 に シフト 】 。 希望 通り です が 、 ちょっと 揺れ て いる という の が 。 トーマス さん が >> 184 でも 言っ てる よう に モーリッツ さん が 狂っ て の は 考え にくい と 思う ん です … … 。 それなのに 敢えて 目立つ 行為 、 果ては 仮 決定 において も 占い ウェルカム という 態度 。 流石 に 狼 なら ビビっ て 出来 ない ん じゃ ない です か ね 。 ただ LW に 自信 が ある 狼 と も 取れ 、 結果 的 に 不 確定 要素 に 踊ら さ れる という の も また 微妙 で … … 。 ＠ ５ 
 __label__8, モーリッツ さん の 表 は 抜け て いる 所 が あっ て よく わから なかっ た ので 補完 し て み まし た が 、 こういう 感じ でしょ う か ？／| 屋 兵 者 書 樵 青 旅 娘 老神 年 服 羊 楽 壱 | 老 書屋 ＿ 老 ＿ 老 書屋 老 屋 ＿ ＿ ＿ 弐 |＿＿ 兵 ＿ 屋 ＿ 者 服 ＿ 屋 樵 ＿ ＿ ＿ 
 __label__7, 青 と 年 を とりちがえ まし た 。 直し まし た 。 ／| 屋 兵 者 書 樵 青 旅 娘 老神 年 服 羊 楽 壱 | 老 書屋 ＿ 老 屋 老 書屋 老 ＿ ＿ ＿ × 弐 |＿＿ 兵 ＿ 屋 樵 者 服 ＿ 屋 ＿ ＿ ＿ × 
 __label__6, ディーター ＞ 微妙 かぁ … そう 言わ れ ちゃっ たら その 通り な ん だ けど 、 本当 の こと だ もん 、 仕方 ない わ 。 ● 書 ○ 服 。 多数決 だ から 私 の 意見 は 見送り に なり そう だ けど ね 。 
 __label__1, オットー も モーリッツ も 俺 に は 白く 見える な 。 オト は 積極 的 に ＣＯ で の 狼 側 の 連携 を 切ろ う と 動い て し 、 モーリッツ も 議論 ぐ だら ない 為 の 票 纏め 立候補 だ し な 。 狼 に し て は 目立ち すぎ だ な 。 二 人 の やり取り 及び オト の >> 186 から 見 て 両 狼 の 可能 性 は 無 さ そう だ し 、 俺 に は 両方 白く 見える ん だ よ な ～ 。 
 __label__1, それから 霊 占 の 真贋 について 所感 。 霊 ： 確定 霊 が まとめ に なり そう だっ た 流れ の 中 で 、 霊 で ある に も かかわら ず 発言 数 の 少ない ペーター が 気 に なる 。 一方 カタリナ は 、 発言 は 少ない が 、 内容 は 村 側 の もの のみ な ので 、 白 印象 。 占 ： パメラ の CO タイミング は 気 に なる けど 、 >> 206 の シモン と 同じ 印象 だ ね 。 ヨアヒム について は 、 発言 から は 正直 何 の 印象 も 得 られ ない 。 2 人 とも もう少し しゃべっ て 欲しい 所 だ ね 。 
 __label__5, ちょっと 早い が 本 決定 
 __label__9, 【 本 決定 確認 。 反対 無し だ 。 】 >> 216 や >> 212 に も ちょっと 感化 さ れ かけ た が 、 まあ こんな 所 で 揺らい で い て は あれ だ し 、 まずは 白 確定 者 が 出る だけ でも いい と しよ う 。 
 __label__6, 【 本 決定 やっぱり 微妙 】 。 モーリッツ さん 白 確 で まとめ て もらう という の は 構わ ない ん です 。 構わ ない ん です が 、 モーリッツ さん 白 視 の 声 が 上がる 中 、 本 決定 まで 変え ない 彼 は 狼 に し て は 心臓 が 強 すぎ ます 。 今更 です が ● 樵 へ シフト 。 理由 は それなり に 喋れる し 、 個人 的 に >> 94 が 予防線 に 見え て 引っかかっ て い た ので 。 
 __label__8, 発言 が 余っ た ・ ・ ・ もう 言い たい こと は 言いつくし た し 質問 飛ん で き そう な 時間 で も ない し ・ ・ ・ 使い切る か な ・ ・ ・ ＠ ０ 
 __label__9, >> 206 シモ さん ＞ ありがとう ござい ます 。 納得 いっ て なかっ た の です か 、 そう も 感じ ませ ん でし た が … 。 でも 「 深く 突っ込ん で も … 」 は 同感 です 。 オト さん を 再度 読ん で き まし た が 、 黒 要素 拾う こと は でき ませ ん でし た 。 老 で も 屋 で も 白出 そう です ね 。 【 本 決定 確認 】 初日 白 確 の まとめ も いらっしゃい ませ ん し 、 動き よう も ない と 考える と … 致し方 ない でしょ う 。 
 __label__1, 神父 >> 204 「 まとめる と ニコラス さん と 同じ 理由 でしょ う 。 ズバリ 。 」 と ある が … どの 辺 で ニコラス と 同じ な の か もう少し 詳しく 聞か せ て 欲しい 。 俺 に は ニコラス と 同じ 理由 に 見え ない ん だ が … ニコラス に 追従 って 事 ？ 
 __label__4, 【 本 決定 確認 】 今日 は おじいちゃん を 占う わ ね 。 
 __label__9, >> 223 シモン さん 、 ニコラス さん の 「 能力 者 を あぶりだし たい 狼 側 の 印象 を 持っ た 」 という 辺り に 共感 し た という 意味 です 。 誰 か に 追従 という 意味 で は あり ませ ん 。 あえて 言う なら 私 は 神 のみ に 追従 する の です 。 アーメン 。 
 __label__9, >> 217 [ 旅 ] に 霊 占 の 意見 を ほぼ 同意 。 カタリナ 白 印象 は 付け すぎ だ と 思う が 。 現状 これ 以上 何 も 出 ない の も あれ な ん じゃ が 。>> 210 [ 樵 ] 遅く なっ た が 却下 は しとら ん よ 。 ただ 表 整理 と の 兼ね合い で 入ら なかっ た だけ じゃ 。 
 __label__9, うーん … … 。 各 占 霊 候補 さん ＞ 全体 的 に 、 この 村 は 能力 者 さん が 喋っ て くれ て い ない 気 が し て 残念 です 。 あなた が もし 真 なら 、 もっと 喋っ て 積極 性 を アピール し て ください 。 村 側 として も 材料 が ない と 判断 の 仕様 が … … 。 ＠ ３ 
 __label__7, >> 224 [ パメラ ] に ょほほ ー い 。 わし の 過去 から 未来 まで ばっち り 占っ と くれ 。 もし 未来 が 占え なかっ たら 息子 だけ に 言う ん じゃ ぞ 。 
 __label__5, ヨア さん 、 【 本 決定 の 確認 】 お願い し ます 。 【 占師 は 翌日 第一声 で 判定 結果 発表 】 です よ ね ？ 寡黙 な 方 多い です が 、 出来る だけ 発言 を 見 て 判断 し たい です 。 私 は 前世 で 苦い 思い出 が ある ので 、 寡黙 ＝ 吊り と は 思っ て い ませ ん 。 ぜひ みなさま 頑張っ て ください っ 。 
 __label__8, 相当 アレ な 参加 状態 だ けど 立候補 とか めんどくさい こと に なっ ちゃっ てる ？ まぁ また 後で 来 ま ー す 。 
 __label__1, 老 ＞ 始め は ちょっと 決め 付け が 多い か な 、 と 思い まし た が >> 188 で そういう 考え方 も ある か ー と 思っ た んで 灰 。 と 思っ て まし た が >> 207 の 表 で 老 より も 屋 の ほう が 多い の に 仮 決定 は 老 に し て い まし た 。 これ は 自分 を 占わ せ て 白 を 出さ せ その後 村 の 中心 に なっ て ミス リード を 誘う という 狂人 かも と 思い まし た 。 投票 で 多く 票 を 得る ため に わざと 始め に つっこま れ そう な 文 を 書い て 討論 に 持ち込み 目立と う と し た の か と 。 予想 が 多い んで 微 黒 
 __label__9, 【 本 決定 確認 】 オト も モリ も 白っぽい し な 。 まぁ 、 二 人 が 票 を 集め て しまっ た ので … 正直 、 微妙 だ が … 仕方 ない な 。 神父 ＞ 回答 さん き ゅ ～ 。 理解 し まし た 。 
 __label__9, って こと で 今日 の 仮 は 反対 かも 。 
 __label__5, >> 229 自分 で 言う の も 何 だ けど 寡黙 ＝ 吊り じゃ ない と 辛い 気 が 
 __label__5, 【 占い師 は 第一声 で 】 【 ワンッ と 鳴け 】 
 __label__4, 【 おじいちゃん は 人間 でし た ー ♪】 
 __label__4, モリ さん は 白 でし た 。 
 __label__9, ゲ ( ry 【 モーリッツ の 白 確 確認 】 なんか 第一声 が … 変態 っぽい が … 取りあえず 纏め 役 宜しく 。 
 __label__9, 【 モーリッツ さん の 白 確 確認 】 。 うーん 、 前向き に 考えれ ば 白 確 が 出来 た 、 です けど … … 。 モーリッツ さん は 疑っ て ごめんなさい 、 また 考え直し です 。 とりあえず 　 つ 【 あんぱん （ 白 ・ 黒 あん ） 】 。 夜食 に でも どうぞ 。 
 __label__9, ゲ 、 ゲルト ！ ？ なんてこった 、 本当に 人 狼 が い た の か ・ ・ ・ しかし ・ ・ ・ と 、 【 ご 老人 の 白 確定 確認 し た 。 】 これから しばらく の 間 、 まとめ 役 を 宜しく 頼む 。 あと >> 226 は 了解 し た 。 そういう こと だっ た の か 。 昨日 は 最終 発言 無駄 に し て すまん かっ た 。 やっぱり 最後 まで 気 を 抜く もん じゃ ない よ な ・ ・ ・ さて 、 議題 は ・ ・ ・ ご 老人 に 任せる べき だ な 。 今日 は 寡黙 組 も たくさん 喋っ て くれる こと を 願う 。 
 __label__9, 【 老 の 白 確定 】 確認 です 。 … う 、 嬉しい ( 泣 ) よかっ た 、 これ で 班 に なっ たら 村 どう なる ん だろ う か と 本気 で 不安 でし た … >> 234 　 エル さん … ( 泣 ) 寡黙 吊っ てる 余裕 なんて ない ん です よ 。 1 人 なら まだしも 、 2 人 以上 とか … 。 おじさん 、 若干 泣け て き ます 。 エル さん ★ 明日 も 発言 厳しい です か ？ 発言 増える こと を 祈り つつ … 今日 は 休み ます 。 
 __label__9, おぉ 神 よっ !! ゲルト さん の 御霊 を 復活 の 時 まで その お 近く で 安らか に 眠らせ 給 え !! という お 仕事 の ほう は ほど ほど に 【 モーリッツ さん が 確白 で ある 事 を 確認 し まし た 】 。 
 __label__9, ゲルト じゃ しょうが ない >> 241 議事 よん で くる ー と 言い ながら 議題 以外 何 も 読ん で ない から 無責任 な こと 言っ た かも しれ ない けど 寡黙 は 見極め られ ない です 。 結局 後半 思考 停止 し て 白 と 思う か 日和 って 寡黙 吊り に なる なら まだ ● 機能 ある 前半 に なんとか し たい な 。 って これ じゃ 「 寡黙 ＝ 吊り じゃ ない 」 の 反論 に なっ て ない か 。 とにかく 寡黙 が 多い なら 前半 に パッ パッ と ● なり ▼ なり あて て いき ましょ う って 話 が し たかっ た って こと で 。 
 __label__9, ディーター さん の 言い分 も 分かる の です けれど 、 私 は 敢えて 声高 に 寡黙 ＝ 吊り と 言わ せ て いただき ます 。 この 村 、 どうも 喋ら ない 人 が 多く て 不安 です 。 それなのに 「 寡黙 ＝ 死 じゃ ない 」 なんて 印象 を 持た れ たら 余計 喋ら なく なり ます し 、 狼 に 悪用 さ れ かね ませ ん 。 最高 の 形 は もっと 喋っ て くれる こと な ん です けれど … … 。 とりあえず 私 も 寝 ます 。 能力 者 考察 は 出来 ない し 、 灰 は じっくり 考え たい ので 。 おやすみなさい 。 
 __label__9, 【 モーリッツ 白 確 確認 】 2 - 2 → 立候補 → 立候補者 占い とか 自分 の 中 で フラット に 考え られ なく なり そう 。 >> 241 多分 大丈夫 。 決定 時間 に は 居る よう に する 。 じゃあ 今度 こそ 退席 。 
 __label__9, ディーター さん の 言う とおり 寡黙 を 吊っ てる 手 は ない の です が 、 オットー さん の 言う と おり 、 寡黙 で も 吊ら ない と なれ ば ますます 寡黙 が 加速 し ます ね 。 方向 性 として は 寡黙 吊り も あり うる という 事 で 進め て いけ ば いい の で は ない でしょ う か ？ 実際 問題 、 マナー 違反 の 可能 性 が ある 本物 の 寡黙 は わざわざ 吊ら なく て も 突然 死し ます し ね 。 
 __label__5, かなり 悩ましい 状況 だ な 。 能力 者 は 4 人 出 て いる から ローラー し て 狂 狼 は 潰し て おき たい 。 しかし 寡黙 も 多い から 判断 つか ない よう なら 吊っ とき たい ・ ・ ・ とことん 吊り 手 が 足り ん 。 一番 は 寡黙 が 喋っ て 判断 付く よう に なっ て くれる 事 が 嬉しい ん だ が ・ ・ ・ いっそ 灰 に 手数 費やし て 能力 者 ローラー を ギリギリ まで やら ない という の も 一考 か 。 むしろ 、 そっち の 方 が いい か ？ ただ 、 場合 によって は 最終 日 決め 打ち 合戦 や ＰＰ に なる かも しれ ない から 
 __label__5, 考えよ う だ が ・ ・ ・ むう 。 そもそも 、 能力 者 も ほぼ 全員 寡黙 気味 な ん だ よ なー 。 もっと 喋っ て くれ ない と 、 真贋 判定 し たく て も でき ない ぞ ？ ・ ・ ・ ご 老人 が 忙しい よう だっ たら 、 俺 が 変わり に 議題 を だし て も いい ん だ が ・ ・ ・ それとも 議題 は 出さ ず に 話 を 進める か ？ 単に 俺 が 議題 あっ た 方 が 話し やすい て だけ だ から 、 まとめ が 議題 出さ ない 方向 で 行く なら 俺 は それ に 従お う と 思う 。 
 __label__5, モーリッツ さん から お 題 が で ない の は 落ち られ て しまっ た ん じゃ ない でしょ う か ？ プロローグ で は 「 超 朝 型 」 と 仰ら れ て ます から 、 結構 厳しかっ た の で は ？ 喉 を 重要 視 し て お 題 を 待つ か 、 時間 帯 が 揃わ ない 事 を 重要 視 し て お 題 なし で 議論 する か 、 でしょ う か ？ 
 __label__5, >> 249 ん ー・ ・ ・ そう か 、 そういう こと も ありえる か ・ ・ ・ ここ は もう少し 、 能力 者 側 の 発言 や 寡黙 組 の 発言 が 増える まで 俺 は 黙っ て いる 事 に する か な ・ ・ ・ いや 、 でも そう する と 余計 議論 が 静か に なっ て しまう か ？ まあ 、 どっちみち 俺 は そろそろ 退席 する から 結局 黙っ て しまう こと に は なる が ・ ・ ・ そんな 訳 で 、 退席 さ せ て もらう 。 明日 の 夕方 頃 に は 顔 を 出す と しよ う 。 
 __label__5, トーマス さん の 喉 も もったいない です し 、 待っ て い て も 暫く は 議論 が 開始 でき ず 投票 前 に 居る の が 難しい 人 も 多い と 思う ので 早め に 少し でも 議論 が 進む よう に モーリッツ さん に 代わっ て 私 が 仮 の お 題 を 出し ましょ う 。 不足 が あれ ば 付け足し て 頂き たい 。 □ 1 . 本日 の ▼ ▽ 希望 を 各人 1 つ ずつ 。 必ず 理由 を 添える よう に 。 □ 2 . 本日 の ● ○ 希望 を 各人 1 つ ずつ 。 必ず 理由 を 添える よう に 。 □ 3 . この 先 の 進め方 について の 意見 
 __label__9, お 、 両 白 が 出 た か 。 白 確 じゃ な 。 ちょっと 村 を 離れ て おっ た 。 すまん かっ た の 。 なに より 発表 順 を 考える の を 忘れ とっ た 。 ■ 1 . 本日 の ▼ ▽ 希望 を 各人 1 つ ずつ 。 必ず 理由 を 添える よう に 。 ■ 2 . 本日 の ● ○ 希望 を 各人 1 つ ずつ 。 必ず 理由 を 添える よう に 。 ■ 3 . 吊り 方針 について [ 占 ロラ ・ 霊 ロラ ・ 灰 吊り ] 理由 を 添え て 。 ■ 1 は 吊り 方針 によって 影響 を 受ける じゃろ う から ■ 3 の 議論 を 見 つつ 、 または 分け て 書い て ほしい 。 
 __label__9, ログ を 読ん で き た 。 残り の 喉 は 灰 考察 なり 質問 なり に 当てる と よかろ う 。 そう そう 、 ジムゾン は 議題 提出 感謝 じゃ 。 
 __label__5, どうやら 本物 の お 題 が 出 た よう です ね 。 >> 253 モーリッツ さん 、 出 すぎ た 真似 を し て しまい まし た 。 お許し 下さい 。 ■ 3 . の 吊り 方針 です が 灰 吊り の 場合 範囲 が 広い けれど 現状 何 の 根拠 も ない です 。 能力 者 ローラー なら 最大 2 匹 の 狼 を 吊れる わけ で かなり 効率 は いい 。 しかし 結局 最後 に 根拠 不足 に 陥り ます ね 。 
 __label__9, おじいちゃん ＞ 過去 未来 は 分から なかっ た けど 、 白 って こと は 分かっ た わ 。 まとめ 役 お願い ね ♪ オットー の 作っ て くれ た あんぱん 食べ ながら おじいちゃん の 議題 に 答え て いこ う か な 。 ■ 3 . これから 先 は 初日 寡黙 だっ た 人 ( 私 含め ) が 発言 が 増える って 期待 し て 寡黙 吊り は 基本 ナシ の 方向 で いき たい なぁ 。 能力 者 の ローラー … この 手 だ と 私 も そのうち 吊ら れる こと に なる けど … 少なくとも 狼 陣営 2 は 減ら せる わ よ ね 。 
 __label__9, 消去 法 で 行く と 占 の 両 吊り か 霊 の 両 吊り でしょ う か ？ これ が 初手 だ という 事 を 考える と 霊 を 初手 で 吊る と もう 片方 も 否応 なく 吊ら なけれ ば いけ ない の に対して 占 を 吊る なら 両 霊 の 結果 を 聞ける という メリット が ある と 思い ます 。 よって 占 の 両 吊り でしょ う か 。 
 __label__9, って こと で 私 は 霊 ロラ → 占い ロラ で いき たい って 思っ てる 。 今 の ところ 寡黙 組 は 、 書 服 羊 青年 娘 に なる わ よ ね 。 今日 より は 活発 に なる と 思い たい けど 、 寡黙 が 目 に 余る よう だっ たら 寡黙 吊り も 考え て いい かも しれ ない と 思う の よ ね 。 
